@relation 'all news tweets'

@attribute Content string
@attribute Time {11/20/2023,11/22/2023,11/19/2023,11/17/2023,11/21/2023,10/29/2023,11/18/2023,11/14/2023,10/12/2023,11/6/2023,11/1/2023,10/10/2023,10/31/2023,10/15/2023,10/16/2023,10/27/2023,10/17/2023,10/30/2023,10/11/2023,11/12/2023,10/14/2023,11/10/2023,11/15/2023,11/3/2023,11/9/2023,11/16/2023,10/13/2023,11/13/2023,10/24/2023,11/5/2023,11/8/2023,11/23/2023,10/19/2023,10/9/2023,10/26/2023,10/18/2023,10/23/2023,11/7/2023,11/4/2023,11/11/2023,10/21/2023,10/28/2023,11/2/2023,10/25/2023,10/22/2023,10/8/2023,10/20/2023}
@attribute Review numeric
@attribute RetweetNumber numeric
@attribute Like_Numbers numeric
@attribute Look_Numbers numeric
@attribute UserName {Palestine,Israel,SkyNews,IDF,BBCWorld,CNN,RT_com,CBNNews,Telegraph,FoxNews,Independent}
@attribute UserName_For_Label {Palestine,Israel}

@data
' Everyone is emphasising that everything that can be done to save all civillian lives is being done .@AlexCrawfordSky reports on the hostage deal between Israel and Hamas  adding  this is the first real chance of hope in a very long time. https://trib.al/CgAph4k Sky 501',11/22/2023,9,5,6,5800,SkyNews,?
' Everything is hanging in the balance right now  Special correspondent @AlexCrawfordSky reports on the hostage deal between Israel and Hamas  adding  the first hostages are expected by Thursday morning. Then we can expect aid coming in. https://trib.al/CgAph4k Sky 501',11/22/2023,26,11,25,1400,SkyNews,?
' Fourteen residents of Kibbutz Nahal Oz were murdered  20 are still missing  and five  including my  brother-in-law are confirmed as hostages .Moshe Emilio Lavi addresses congressmen at the the Capitol. #ICYMI | @IsraelAllies',11/20/2023,17,19,59,7700,Israel,Israel
' He doesn t know he lost his limbs...or his parents. Palestinian boy Ahmed Shabat survived an Israeli air strike that killed his parents but was severely injured in a second attack and lost both of his legs',11/17/2023,164,2100,2300,15000,Palestine,Palestine
' Hi guys  I m still alive. This 25-year-old Gaza content creator has been documenting the realities of living under Israeli bombardment for a month now.',11/14/2023,16,458,988,4600,Palestine,Palestine
' How is this allowed to happen? How are western countries standing by  letting this happen? Palestinian Academic  Ghada Karmi talks about the number of Palestinians killed in Gaza. https://trib.al/Rx0iR33 Sky 501  Virgin 602  Freeview 233 and YouTube',11/21/2023,103,64,149,3200,SkyNews,?
' How much more violence  bloodshed and misery will it take before people come to their senses? UN human rights chief Volker Turk calls for a ceasefire in the besieged Gaza Strip. LIVE updates: http://aje.io/kebz8',11/19/2023,53,190,332,5600,Palestine,Palestine
' Hundreds of people are taking shelter inside this school. Al Jazeera s Tareq Abu Azzoum reports on the latest Israeli air strike on the UN-run al-Fakhoura School in northern Gaza s Jabalia refugee camp.',11/18/2023,319,4900,5200,34900,Palestine,Palestine
' I come before you not only as US secretary of state but also as a Jew Anthony Blinken says he understands the  harrowing echoes  that Hamas attacks have for Jews globallyhttps://bbc.in/48RG6Pc',10/12/2023,633,251,728,36600,BBCWorld,?
' I couldn t do anything for them. A Palestinian woman living in Qatar  Deena Al-Alami  recounts her last phone call to her sisters as they fled their homes in north Gaza',11/20/2023,106,663,100,5900,Palestine,Palestine
' I drove an hour and a half for a kiss and a hug from my little brother (That s all the time he had).We are going to win this!  Thank you to @AshagerAraro and to our brave men and women in uniform for keeping us safe . Love  Israel',11/14/2023,3700,3400,1600,3300000,IDF,?
' I hope all the hostages who have nothing to do with this conflict are released. Dr Abdullah Al Rabeeh of the Salman Humanitarian Aid and Relief Centre calls for  peace  and  saftey for children.  https://trib.al/Rx0iR33 Sky 501  Virgin 602  Freeview 233 and YouTube',11/22/2023,7,?,4,2200,SkyNews,?
' I love you. I love you. We have been fighting for you every way that we can. I will say I am sorry. Thomas Hand s daughter is being held hostage by Hamas. He talks to@KayBurley about her potential release.https://trib.al/Rx0iR33 Sky 501  Virgin 602 and YouTube',11/21/2023,53,24,43,3400,SkyNews,?
' I need to believe she will be back  - Granddaughter of Hamas hostage',11/6/2023,332,73,285,15100,BBCWorld,?
' I reaffirm that our premises are inviolable. UN chief Antonio Guterres says he s  deeply shocked  that two UN schools were struck in less than 24 hours in the besieged Gaza Strip  killing and injuring dozens of Palestinians. LIVE updates: http://aje.io/3d6i2',11/19/2023,62,235,371,7000,Palestine,Palestine
' I simply don t want to die at 24   says woman trying to escape Gaza',11/1/2023,423,269,983,36500,BBCWorld,?
' I swear by Allah  if they [Israelis] bomb us with F35 fighter jets  we will not leave our land   says this Palestinian man after his home was bombed by Israeli warplanes in #Gaza.#GazaGenocide',11/21/2023,81,1800,3600,8600,Palestine,Palestine
' I?m used to getting hate from Nazis  the ones with the thunderbolts and swastikas. I can deal with Nazis any day of the week. But the people that are sending us this hate now  their bios say ?vegan? and ?organic fiber creators? ? they are our followers ',11/22/2023,36,30,78,1700,Israel,Israel
' I m going to fall down soon but compared to what Emily is going through  this is nothing  so I will continue until I drop.   Thomas Hand s daughter is being held hostage by Hamas  he talks to @KayBurley about her potential release.https://trib.al/Rx0iR33 Sky 501',11/21/2023,60,37,49,3000,SkyNews,?
' In every war against Gaza a range of weapons... has been deployed against the Palestinians. Weapons tested in each war Israel wages on Gaza see a spike in global demand with the current war the latest laboratory for the Israeli arms industry http://aje.io/8yfcpl',11/17/2023,256,1800,2500,12800,Palestine,Palestine
' In the face of the horrors of Gaza  we should be working to encourage real decolonisation not just in Israel/Palestine  but globally  before the violence engulfs us all. ? #AJOpinion by @culturejamming',11/19/2023,84,379,656,6300,Palestine,Palestine
' Israel respects no international laws or conventions.   Qatar PM Sheikh Mohammed bin Abdulrahman al-Thani said Israel s actions and siege of al-Shifa hospital in Gaza was a ?crime.  LIVE updates: http://aje.io/5b1xgr',11/19/2023,51,178,317,4600,Palestine,Palestine
' It is a kind of eliminationist drive where the society cannot sustain itself for a long period. Israeli academic Neve Gordon on Israel attacking hospitals in the besieged Gaza Strip',11/19/2023,47,194,294,6100,Palestine,Palestine
' It is a very horrific testimony to the absolute carnage... and utter  utter brutality of Hamas @NicRobertsonCNN visits a bomb shelter in Israel targeted by Hamas https://cnn.it/3rTqI4h',10/10/2023,1200,1800,3800,500000,CNN,?
' It s great news and it will be a huge relief for families involved to know that some of their loved ones will be coming home .@darrenpjones adds that  more aid will be able to get into Gaza as part of this long humanitarian pause. https://trib.al/Rx0iR33 Sky 501 and YT',11/22/2023,9,3,11,2000,SkyNews,?
' May God help me be a mother  a sister  and a father to my siblings.  Touching words from a Palestinian girl who lost her parents to the Israeli airstrikes. #Gaza #Israel',11/20/2023,116,2200,3100,7600,Palestine,Palestine
' My 4 children were burned to death   screams this heartbroken mother after her children Zakariah  Amira  Jouri and Ahmed Shlouf  were brutally massacred in an Israeli pogrom last night in Rafah  southern Gaza.',11/20/2023,154,6900,6400,20600,Palestine,Palestine
' My brothers in arms  the residents of Be eri  Sderot  Nir Oz  Kfar Aza and the towns in the Western Negev and the with them rest of the Israeli people. Everyone is watching us at this moment. Like myself they trust you and believe in you.  Thank you to our brave women and?',10/31/2023,1700,1700,8100,31400,IDF,?
' My estimate is that Bibi s afraid of the political result of releasing the hostages ',11/22/2023,6,16,35,8400,Israel,Israel
' My nation is bleeding. My nation is in pain. Israeli President Isaac Herzog speaks with CNN s @wolfblitzer about what he saw when he visited kibbutz Be eri after it was attacked by Hamas terrorists. Follow live coverage: https://cnn.it/3ZYjusp',10/15/2023,1300,346,768,48800,CNN,?
' My sister  my beloved Watch moment injured five-year-old girl in Gaza sees her baby sister is still alive',10/31/2023,277,178,522,20200,BBCWorld,?
' Once you start talking about the root causes  you end up talking about how Israel was created and that means telling a story that is not pretty about how the zionists conquered #Palestine. American political scientist John Mearsheimer speaks about the global discourse on?',11/19/2023,39,466,766,8600,Palestine,Palestine
' Our minds are in Gaza. Palestinian men stranded in the West Bank look on as their families endure horrors at home. https://cnn.it/3QjyWfF',10/16/2023,436,364,328,26100,CNN,?
' Patients in the ICU units and babies in incubators are now surviving without electricity and without oxygen  waiting for their fate. Al Jazeera s @YoumnaElSayed17 on Gaza s al-Shifa Hospital.  LIVE updates: http://aje.io/we9eau',11/17/2023,294,5600,5500,25500,Palestine,Palestine
' Releasing the hostages is the supreme task. That?s the most important goal  and politicians aren?t allowed to engage in political manipulation on this matter   Hagai Hadas  Israel s former coordinator for hostages and missing persons  says',11/22/2023,6,10,25,8200,Israel,Israel
' Significant progress  has been made on Qatar-led negotiations to release hostages held by Hamas  but issues remain  diplomatic sources say https://cnn.it/493fcnI',10/27/2023,409,120,327,25400,CNN,?
' The British political classes position on the bombing [of Gaza] is really quite shocking. Mark Curtis  Editor at Declassified UK  talks to Al Jazeera about the disconnect between the British public and their politicians when it comes to Israel s war on Gaza.',11/18/2023,95,601,900,11800,Palestine,Palestine
' The idea of having to leave  of being displaced once again is really just a huge point of anxiety. @NadaaBashir reports on the Gaza relief efforts on a new episode of Tug of War:',10/17/2023,352,62,173,31300,CNN,?
' The main drug they used was antisemitism and Jew-hatred ? that is what motivated these atrocities. No one should turn to the sexy idea of a drug supposedly increasing the hatred ',11/22/2023,35,8,29,1200,Israel,Israel
' The United States has Israel s back In a speech from the White House  the US president said Hamas  does not stand for the Palestinian people ',10/10/2023,522,147,100,54800,BBCWorld,?
' There is some progress on the outline regarding the hostages. IDF spokesperson Daniel Hagari says that they will adhere to any outline that will be agreed upon  once the deal is finalised.https://trib.al/cTalmdd Sky 501  Virgin 602  Freeview 233 and YouTube',11/21/2023,32,8,19,3400,SkyNews,?
' There were a lot of files against my organisation  against me as an individual. Mohammed Zubair  co-founder of Alt News  a fact-checking website in India  tells Al Jazeera about the backlash he faced debunking misinformation from pro-Israel accounts',11/19/2023,99,893,1500,11300,Palestine,Palestine
' There s a lot of discontent with his leadership of the government  even within his own party. Benjamin Netanyahu alone as Israel turns on the wartime PM.',11/18/2023,182,412,902,13100,Palestine,Palestine
' This is a time for war   Israeli Prime Minister Benjamin Netanyahu says  as IDF expands its attacks. Civilians in Gaza have received leaflets warning they are not safe.',10/30/2023,1400,216,712,65600,CNN,?
' To those who control the corridors  please open the corridors  open the corridors  open the corridors .Dr Abdullah Al Rabeeah calls on politicians to allow aid into Gaza  adding  let us save the lives of children  women and the elderly. https://trib.al/CgAph4kSky 501',11/22/2023,7,4,20,6900,SkyNews,?
' Trust is the number one success factor in hostage negotiations. Scott Walker is a hostage negotiator and talks about the progress being made on hostages taken by Hamas. https://trib.al/Rx0iR33 Sky 501  Virgin 602  Freeview 233 and YouTube',11/21/2023,8,10,13,2700,SkyNews,?
' Unorthodox  author @Deborah_Feldman has been a vocal critic of Israel in Germany  sparking debate in a country that has been very sensitive to perceptions of antisemitism since the Holocaust.#Unorthodox | #Germany | #Israel',11/22/2023,19,6,15,8200,Israel,Israel
' We are estimating that two [Palestinian] mothers every hour are being killed. Sarah Hendriks  UN Women policy chief  adds that nearly 800 000 Palestinian women and girls have been forcibly displaced in Israel s war on Gaza',11/19/2023,292,2300,2500,14800,Palestine,Palestine
' We are ready to provide you with any assistance. We ll even provide you with an incubator and I ll put it at the gate of the hospital. Does that help?  The @IDF continues to work around the clock to ensure the protection and safety of civilians in Gaza. Listen to a?',11/14/2023,1400,652,1700,23400,IDF,?
' We have been slaughtered. We have been destroyed. Sharone Lifschitz  whose parents were taken hostage by Hamas  pleads for the safe return of hostages and for the Israeli government to confirm they will protect those taken into Gaza https://cnn.it/4906pDc',10/11/2023,236,82,239,17800,CNN,?
' We have to continue the business because if she returns and sees that we stopped  woe to us all. We?re continuing and it?s clear to us that she?ll return. In Africa many more millions need to be fed ',11/22/2023,2,3,14,6900,Israel,Israel
' We saw death in every colour. Forcibly displaced Palestinians recount horror fleeing northern Gaza through so-called  safe corridors  announced by Israel.? in pictures http://aje.io/xxdo93',11/19/2023,103,100,1400,8000,Palestine,Palestine
' We were making food when an Israeli bomb hit us   says this little girl who was in a UN-run school in Bureij refugee camp  central Gaza  when Israel attacked the school with bombs  killing 12 civilians and injuring more.',11/20/2023,27,100,100,2800,Palestine,Palestine
' We will have to make difficult decisions in the coming days - defeat Hamas step by step and bring back the hostages   Defense Minister Gallant said on Tuesday after holding a situational assessment at the Gaza Division.#Hamas | #IDF | #Israel',11/21/2023,16,13,46,9400,Israel,Israel
' We re here trying to liberate everyone. Jewish freedom and Palestinian freedom are interrelated. Tens of thousands of people from different backgrounds took part in the biggest pro-Palestinian protest in UK history.',11/12/2023,57,1400,2800,9500,Palestine,Palestine
' We re living in a dump. And if we move we will die Hundreds of thousands in Gaza struggling to surviveFollow live',10/17/2023,602,496,1100,39800,BBCWorld,?
'We have got potential war crimes being committed on a daily basis. Analyst Andreas Krieg told Al Jazeera that comments by Israeli officials suggest a  genocidal intent  in the Gaza Strip. LIVE updates: http://aje.io/wjlc7',11/17/2023,26,171,275,5700,Palestine,Palestine
'Where do we go? We have become homeless The Palestinian health ministry said about 300 people  two thirds of them civilians  died in Israeli attacks on Monday',10/10/2023,1200,681,2400,1100000,BBCWorld,?
'Where do we go? Displaced Palestinians  who had already fled from north Gaza to the south  are now being told to move again without any instructions on where to go. The Israeli directive has left thousands in Khan Younis fearing for their lives',11/17/2023,299,3300,3500,22900,Palestine,Palestine
'White South Africans realised their apartheid project was unsustainable; Israelis will  too. ? #AJOpinion by Suren Pillay',11/17/2023,52,323,686,5700,Palestine,Palestine
'Why are you supporting killing children?  Children in New York City marched to Senator Chuck Schumer s house with their parents to demand an end to Israel s attacks on Gaza.',11/17/2023,53,100,1700,6200,Palestine,Palestine
'You do not understand how many burned people I counted The painstaking work of Israeli volunteers giving dignity to the dead',10/15/2023,512,232,664,43900,BBCWorld,?
'Your mind begins to wonder   is she still alive? Was she another victim of collateral damage?  CNN speaks to a man whose mother is attempting to leave Gaza. Follow live updates: https://cnn.it/3txLFlS',10/14/2023,704,97,306,31400,CNN,?
'#BBC edits out calls for #Gaza ceasefire at Scottish Bafta awards.Watch the unedited video below  captured by the audience.',11/21/2023,15,872,1400,5000,Palestine,Palestine
'#BREAKING  | Government Media Office: More than (14 128) martyrs  including more than (5 840) children  and (3 920) women  as a result of the Israeli aggression on the #Gaza Strip.',11/21/2023,17,656,535,2500,Palestine,Palestine
'#Breaking | #Yemeni armed forces were able to capture an Israeli ship in the Red Sea and detain it with its crew. #Gaza #Israel',11/19/2023,29,218,578,3300,Palestine,Palestine
'#Breaking | 14 martyrs arrived at Al-Aqsa Martyrs Hospital after the occupation targeted the Mukhaimer family home near the Khaled bin Al-Walid School in the Nuseirat Camp in the central #Gaza Strip.  #Israel',11/19/2023,12,247,285,1700,Palestine,Palestine
'#Breaking | Al Jazeera correspondent reports 4 martyrs in an Israeli airstrike targeting a house in the Al-Mughraqa area  central #Gaza Strip. #Israel',11/20/2023,16,172,234,1300,Palestine,Palestine
'#Breaking | Over 8 casualties reported in an Israeli airstrike targeting the Darwish family s residence in the Nuseirat camp  central #Gaza Strip. #Israel',11/19/2023,12,176,220,1800,Palestine,Palestine
'#Breaking | Politico:  The Biden administration provided Tel Aviv with the GPS Coordinates of humanitarian organizations in #Gaza to prevent them from being targeted  but Israel continued to bomb them.  #Israel',11/21/2023,152,3100,3600,17000,Palestine,Palestine
'#Breaking | The death toll in the airstrike on the Al-Harthani family s residence in Jabalia Al-Balad  north of the #Gaza Strip  has risen to 18 martyrs. #Israel',11/19/2023,12,238,266,1800,Palestine,Palestine
'#BREAKING| 11 victims have been reported in an Israeli airstrike on two residential houses near Al Najjar Hospital in Rafah in the south of #Gaza.',11/20/2023,17,599,547,2100,Palestine,Palestine
'#BREAKING| A prayer vigil now in front of the White House calling for a #ceasefire in #Gaza.',11/20/2023,13,277,521,2000,Palestine,Palestine
'#BREAKING| Casualties reported in Israeli strikes on western Khan Yunis in southern #Gaza.',11/20/2023,20,669,609,2400,Palestine,Palestine
'#BREAKING| Former Director of #Israel s Military Intelligence  Tamir Heyman: We overestimated the importance of Al Shifa Hospital for Hamas. #Gaza',11/19/2023,59,444,810,6000,Palestine,Palestine
'#BREAKING| Gov t Media Office warns of a massacre that the Israeli military would commit in the Indonesian Hospital in northern #Gaza.',11/20/2023,16,523,540,2500,Palestine,Palestine
'#BREAKING| Gov t Media Office: Over 6000 civilians  over 4000 of whom are children and women  are still under the rubble. #Gaza',11/19/2023,81,5300,3800,2700000,Palestine,Palestine
'#BREAKING| Gov t Media Office: The death toll in #Israel s offensive on #Gaza rose to over 13 000  over 5500 of them are children and over 3500 of them are women.',11/19/2023,21,531,465,3300,Palestine,Palestine
'#BREAKING| Israeli airstrikes and shelling target the Indonesian Hospital in northern #Gaza right now.',11/20/2023,27,690,570,4500,Palestine,Palestine
'#BREAKING| Israeli artillery shelled the Indonesian Hospital leaving several deaths and injuries among patients and medical teams. #Gaza',11/20/2023,207,7200,5700,29500,Palestine,Palestine
'#BREAKING| Israeli forces kidnap a wounded man from an ambulance in Tulkarn refugee camp in the #West Bank.',11/22/2023,81,200,1600,5800,Palestine,Palestine
'#BREAKING| Israeli forces killed Amir Majd (30 years old) during a raid into Qalqilya in the #WestBank.',11/22/2023,15,527,647,1600,Palestine,Palestine
'#BREAKING| Israeli heavy shelling in the vicinity of the Indonesian Hospital in northern #Gaza sets fire to buildings.',11/20/2023,25,1100,849,5300,Palestine,Palestine
'#BREAKING| Israeli occupation forces break into Thabet Thabet Hospital in the #WestBank city of #Tulkarm and kidnap a severely wounded man from an ambulance.',11/22/2023,120,2400,200,7800,Palestine,Palestine
'#BREAKING| Israeli strikes on houses in Jabalia and al Nuseirat refugee camps in #Gaza leaving casualties.',11/20/2023,11,205,224,1500,Palestine,Palestine
'#BREAKING| Israeli tanks are surrounding the Indonesian Hospital right now and targeting it. #Gaza',11/20/2023,207,5600,4300,30800,Palestine,Palestine
'#BREAKING| Israeli tanks continue shelling the Indonesian Hospital in the north of #Gaza. Several casualties have been reported in the Israeli attack on the hospital  including the injury of the head of the orthopedic department of the Indonesian hospital  Dr. Adnan Al-Barsh ?',11/20/2023,110,2400,1900,17600,Palestine,Palestine
'#BREAKING| Journalist Ala a Hasanat has been killed in an Israeli strike  which targeted her house in #Gaza city.',11/20/2023,46,1200,1500,3900,Palestine,Palestine
'#BREAKING| Media coverage:  Al Qassam Brigades announced firing the largest missile barrage in 44 days at Tel Aviv in retaliation for #Israel s targeting of civilians in #Gaza. ',11/20/2023,85,757,1700,14000,Palestine,Palestine
'#BREAKING| MoH: #Israel killed 150 civilians in the north of #Gaza today only.',11/19/2023,25,813,720,3300,Palestine,Palestine
'#BREAKING| Protesters enter the Liberal Party of #Canada s donor dinner right now calling for a ceasefire in #Gaza.',11/22/2023,54,1600,3500,7200,Palestine,Palestine
'#BREAKING| The head of the orthopedic department of the Indonesian hospital  Dr. Adnan Al-Barsh  was injured in an Israeli shelling targeting the hospital.',11/20/2023,56,300,3500,10600,Palestine,Palestine
'#BREAKING| The Israeli military has published footage showing what it claims to be a  significant 55-meter-long terrorist tunnel  10 meters underneath the Shifa Hospital. The video  however  is clearly edited  starting with a water well surrounded by a severely excavated land ?',11/19/2023,399,5100,8400,43000,Palestine,Palestine
'#BREAKING| The Palestinian mission to the #UK @PalMissionUK says its members were attacked and vandalised yesterday  which was the fourth attack in the latest few weeks.  Until today  the UK government has failed to provide such diplomatic protection  in line with international?',11/19/2023,13,288,377,2400,Palestine,Palestine
'#Hamas leader  Ismail Haniyeh  spoke with the secretary general of the #PalestinianIslamicJihad  Ziad Nachala on Monday evening about war developments and the #HostageDeal issues  according to Israeli media.Read more about it here:',11/20/2023,5,10,19,1000,Israel,Israel
'#Israel #occupation Cartoon by Sara Qaed',11/20/2023,5,144,264,1400,Palestine,Palestine
'#Israel withdraws their ambassador from #SouthAfrica  for consultations . The withdrawal comes only a few days before a vote by the Parliament of #SouthAfrica to expel the Israeli ambassador and shut down the Israeli Embassy in protest against the genocide in #Gaza.',11/20/2023,21,220,386,2100,Palestine,Palestine
'#Israel i minister Ben Gvir cheered for the destruction of a Palestinian woman shop  just because she posted pictures on social media supporting #Gaza.They ran a dozer through the shop  and they put up a sign saying  This shop is closed for supporting terrorism. ',11/19/2023,202,4300,5400,22000,Palestine,Palestine
'#Israel i Occupation forces conduct a raid in he town of Awarta  south of Nablus  in the #WestBank.This is part of the routine raids carried out by the IOF.',11/21/2023,7,158,191,1200,Palestine,Palestine
'#Israel i Occupation forces conduct a raid in the city of Tulkarm  in the #WestBank.This is part of the routine raids carried out by the IOF.',11/21/2023,6,261,260,1200,Palestine,Palestine
'#Israel i Occupation forces conduct a raid in the town of Faqoua  in the #WestBank.This is part of the routine raids carried out by the IOF.',11/21/2023,13,223,234,1200,Palestine,Palestine
'#Israel s deadly airstrikes on #Gaza continue for the 43rd day in a row along with the cold and rainy weather and a power outage.',11/19/2023,14,385,446,2500,Palestine,Palestine
'#Israel s military has released footage allegedly showing resistance fighters taking Israeli detainees to get medical care at Al Shifa Hospital. The army claimed that treating the detainees makes medical centers military targets. The statement contradicts a previous claim by?',11/19/2023,595,700,1300,71900,Palestine,Palestine
'#Maldives MP Mohamed Nasheed Abdulla submitted a proposal to amend the Immigration Act  which would ban Israeli passports from entering the country.',11/20/2023,37,512,1400,3100,Palestine,Palestine
'#Meta approved all test ads containing hate speech and incitement to violence and genocide of #Palestinians  according to 7amleh.https://qudsnen.co/meta-approves-all-ads-containing-anti-palestinian-incitement/?',11/22/2023,24,229,303,1400,Palestine,Palestine
'#META targeted pages that support Palestinian content with content and profile removal.Note that our Facebook page was permanently banned months ago. #Gaza',11/21/2023,48,643,942,2500,Palestine,Palestine
'#NewYork State Senator Julia Salazar fired a staffer who endorsed the Oct. 7 #Hamas attack on #Israel.',11/22/2023,14,25,183,8100,Israel,Israel
'(Thread) The devil works hard but Gaza s  film  industry works harder. Meet Saleh Aljafarawi  Hamas presenter  father  patient  singer   journalist and crisis actor. He s just one example of how Hamas is using social media to spread misinformation and shape false narratives?',11/6/2023,4900,6700,1700,4200000,IDF,?
'*Joint IDF and ISA announcement:*Overnight  the soldier PVT Ori Megidish was released during IDF ground operations. PVT Megidish was kidnapped by the Hamas terrorist organization on October 7th.The soldier was medically checked  is doing well  and has met with her family.?',10/30/2023,100,1100,6800,55000,IDF,?
'.@le_Parisien pays tribute to the hostages being held by Hamas terrorists in Gaza.Thank you for making their voices heard. BRING OUR FAMILIES HOME!',11/19/2023,100,509,2200,9900,IDF,?
'.@SkyYaldaHakim speaks to senior advisor to PM Netanyahu Mark Regev about the civilian causalities in Gaza.Mr Regev says that he disputes the accuracy of the numbers being reported by the Hamas-run Gaza health ministry.https://trib.al/N78yOzo Sky 501 and YouTube',11/21/2023,10,5,5,3600,SkyNews,?
'?Burn Gaza now  ? deputy speaker of Israeli parliamenthttps://on.rt.com/clby',11/18/2023,43,104,143,1600,RT_com,?
'?Israel s army tanks are here. We are facing imminent death in Gaza City ',11/22/2023,55,247,391,3300,Palestine,Palestine
'?Minimal  fuel to be allowed into Gaza after UN warns of starvation risk.? in pictures http://aje.io/ps7ahw',11/18/2023,64,442,631,5400,Palestine,Palestine
'?One horror does not justify another  ? Borrell to Israelhttps://on.rt.com/cla5',11/17/2023,10,12,68,1000,RT_com,?
'?Pro-Nazi  terrorist attack thwarted in the United Kingdom The 27-year-old terrorist was found to have had antisemitic messages and videos stored on the same phone where he wrote out his attack plan.#UnitedKingdom | #Terrorism | #Antisemitism',11/22/2023,5,10,28,3700,Israel,Israel
'?Pro-Nazi  terrorist book-burning attack thwarted in the United Kingdom The 27-year-old terrorist was found to have had antisemitic messages and videos stored on the same phone where he wrote out his attack plan.@DanielleGreyman #Terrorism | #UK',11/22/2023,8,15,30,5600,Israel,Israel
'We are closer than we have ever been. White House spokesperson John Kirby says Washington is hopeful a deal can be reached for Israeli captives to be released  but nothing is finalised. LIVE updates',11/20/2023,36,46,92,3700,Palestine,Palestine
'?Will BBC apologize?  ? Israeli army spokesmanIDF spokesperson Peter Lerner has called for an apology after BBCs Jeremy Bowen cast doubt on Israel s claim of Hamas activity in Al-Shifahttps://on.rt.com/clfm',11/21/2023,13,32,68,1100,RT_com,?
'?100 000 Christians Have Been Murdered?: Inside Deadly Persecution Raging Inside Nigeria https://faithwire.com/2023/11/22/100000-christians-have-been-murdered-inside-deadly-persecution-raging-inside-nigeria/? via @faithwirenews',11/22/2023,6,16,16,100,CBNNews,?
'?Historic Moment?: Tens of Thousands Inspired as Woman With Down Syndrome Becomes Among First to Finish NYC Marathon https://faithwire.com/2023/11/10/historic-moment-tens-of-thousands-inspired-as-woman-with-down-syndrome-becomes-among-first-to-finish-nyc-marathon/? via @faithwirenews',11/10/2023,1,3,14,983,CBNNews,?
