@relation 'hashtags trimmed both-weka.filters.unsupervised.attribute.Remove-R2-7-weka.filters.unsupervised.attribute.Remove-R2-4'

@attribute Tweet_Content string
@attribute Targe_Pro {Israel,Palestine}

@data
'No UAV but Jewish Laser Beams from space are OK.Fcuk Hamas Sinwar. His day will come too Inshallah #HamasISIS #HamasNazis #YahyaSinwar',Israel
'Another quick reminder of what ethnic cleansing looks like in numbers based on research and not pictures of fake maps with green dots#StandWithIsrael #HamasisISIS #BringThemHome',Israel
'A video highlighting the hypocrisy of many in the western world, with regard to the sexual abuse and rape of #HamasTerrorists during the Oct. 7 massacre.#rapeisNOTresistance',Israel
'These pro Palestine / Hamas protesters when they need help will call 911. Think theyll tell the officers responding that theyre   then?  I Highly doubt it. #Hamas_is_ISIS #Gaza_Genocide #HamasTerrorists #Hamas #Israel',Israel
'Europe starting to WAKE UP - Berlin bans the wearing of Keffiyeh in its schoolsThats right! Wanna support Hamas-Rapists? Go to an @UNRWA school in Gaza - they have excellent rape & murder curriculum!',Israel
'To those playing armchair diplomats: were not asking for your approval. Were out here dealing with terrorists, not seeking your applause. Our focus? Ending terror and rescuing our kidnapped #IsraelStrong #HamasISIS #StandWithIsrael #IsraelFightsBack #Revenge',Israel
'How long will Western media outlets keep on employing Hamas-Rapists as journalists like @NBCNewss Samed Wajjeh here waving his assault rifleYoure letting them pollute you desks with Fake-news & feeding terrorists with Western money!THROW OUT THE RAPISTS FROM MEDIA!',Israel
'History in the making - thats how it looks like when an evil regime is going down - Hamas-Rapists lose control over Gaza & Gazan civilians storm the supplies their Rapist-oppressors robbed from them (Rapists meanwhile shooting their own people)',Israel
'Omer Vankert, a 22 year old patient with #ulcerativecolitis, was kidnapped by #Hamas from the music festival. He is now 40 days without his meds! Can you imagine what he is going through!? Where is the #RedCross!? #WarCrimes @ICRC #HamasISIS',Israel
'Seems that #SusanSarandon supports Palestinian. #freedom_rapists of  #HamasisISIS from #Gaza #Hamas #HamasTerrorists  #HamasMassacre #Israel',Israel
'BBC making it hard these days to satirize them as their leaning toward Hamas-Rapists grows each day. And still',Israel
'i became a fan of @TimKennedyMMA watching the History Channels series Hunting HitlerAt least 1/3 of #HamasTerrorist  rockets land in #Gaza #HamasISIS   #BringThemHomeNow',Israel
'Europe starting to WAKE UP - German Police raided 54 Hamas-Rapists supporters locationsNext step - DEPORT THEM ALL!Civilized countries who ZERO tolerance for RAPISTS!',Israel
'You got it! Thats exactly the propaganda They also call Jews Nazis and then chant from the river to the sea. No logic, pure hate.#standwiththetruth #stopantisemitism #standwithisrael #notoantisemitism #HamasisISIS #jewishlivesmatter',Israel
'Where are all proressive feminists? Sleeping with Hamasisis rapists butchers?',Israel
'#IsraelAtWar #StandWithIsrael My daughter is also a volunteer you know where...',Israel
'Gaza: Hamas Terrorist Highway: IDF Reveals Hamas Tunnel Network Under Al-Shifa Hospital #MiddleEast #Gaza #HamasTerrorists',Israel
'True and powerful!Women dont deserve being raped no matter their religion nationality!Its a crime.@AmericanRedCross#UnitedNations #HamasTerrorist #metoo#metoounlessurajew#StandWithIsrael',Israel
'Its been some weeks since the start of the War in Israel but for my part I still stand strong with Benjamin Netanyahu his people and the IDF in fighting against the terrorists organization HamasStat Strong Stay Safe #StandWithIsrael',Israel
'Clemence Matanga, A national of Tanzania, was kidnapped to #Gaza on #October7 by #HamasISIS.His body was found and recovered in Gaza by the IDF.Clemence came to #Israel to study agriculture and bring ideas and techniques back home.May his memory be a blessing.',Israel
'wtf! Why anyone believes this piece of ! Iranian  regime &amp; #HamasISIS propaganda!',Israel
'Hamas kidnapped dozens of Israeli children from the hands of their mothers. This is a crime against humanity! Where are the human rights organizations? #HamasISIS',Israel
'PM #Netanyahus response to the #Palestinian Authority Abu Mazens (Abbas) allegation that IAF helicopters were responsible for the Nova festival massacre. #October7massacre #Gaza #IsraelPalestineWar #HamasMassacre #IsraeliTerrorists #StandWithIsrael #Israel',Israel
'Be careful what you dont condemn. Be careful what you support. There is no grey area when it comes to TERRORISM! #Hamas #HamasISIS #GenocidalMonsters #Gaza #Israel #October7 #NoCeasefire #HamasMassacre',Israel
'Some of the horror and atrocities from #October7 .. whoever calls for a ceasefire after this is absolutely insane, PERIOD. #Israel #HamasTerrorists #Palestine #Gaza #NeverAgainIsNow #Hamas #terrorism #IStandWithIsrael #NoMas',Israel
'Imaam Tawhidi Imaam of peace explains the problem Palestinians have with Israeli. You have two sides: you have the Palestinians who want to kill the jews, and you have the other side;israel, who wont let them.#Palestine #israel #StandWithIsrael #Antisemitism',Israel
'Just a couple of #HamasTerrorists out for a stroll in #Gaza with a group of kids aka human shields but dont forget no one has forced the kids they are there willingly hoping to be like their heroes when they are bigger aka the nest generation of terroristsThere are no innocents',Israel
'This is the kind of people US and Europe are importing on mass. Mass deportations now!#HamasISIS',Israel
'If you are an immigrant in the USA, hate America and our way of life as a republic, then you should be deported.  #StandWithIsrael #IsraelPalestineConflict #moleg #bordercrisis',Israel
'In tribute to the victims and to advocate for the hostages release, Kfar Aza organized a kite-flying event last Thursday in Charles Clore Park, sending a message of hope. #telaviv #israel #standwithisrael #hamasisisis #bringthemhome #israelunderattack #standwithisrael',Israel
'Good morning fellas,for me it will be another busy day(in the middle of moving to another place),I just cant wait to have a little rest later on tonight Wish you all a great day,love you guys and#StandWithUkraine #StandWithIsrael From a woman to all women f Islamic sharia!',Israel
'Israel is sending  incubators to Gaza. We care. #HamasTerrorists dont!',Israel
'Only saw civilians. These civilians?  #HamasisISIS #Gaza #Hamas #HamasTerrorists  #HamasMassacre #Israel',Israel
'The Hamasisis butchers are shy after the mmasacre but we will get to them.',Israel
'Memo to donor nations: Any doubt who controlled every inch of #Gaza including schools - #HamasTerrorists.',Israel
'Unquestionably the curse of Allah is upon the wrongdoers Hud 11:18#Gazagenocide #IsraelTerrorism #CeasefireInGazaNOW #FreePalestineFromIsrael #HamasISIS #Hamas #Palestine_Genocide #Gaza  #Israel #AlShifaHospital',Israel
'Send this rug wearing shit stain to Palestinian she will obviously fit in well with the cowardly Hamas gobshites #StandWithIsrael',Israel
'War crimes on their website and they are proud of that. unbelievable!!! https://hamas.com The world needs to WAKE UP!!#hamasisisis #hamasterrorists',Israel
'For me, the most horrific thing in this whole expereince is the sickeneing silence of all the so-called aid organizations.  Hypocrsy cant even begin to describe it.#StandWithIsrael',Israel
'#IDF spokesperson announcement of #Israels mission in #Gaza, to eliminate #Hamas with every endeavor made to protect & prevent harm to the ordinary #Gazans. #GazansLivesMatter to the IDF but not to #HamasTerrorists',Israel
'Arab heroes in Israeli army - This brave soldier is Samer Barham proud IDF soldier fighting against Hamas-Rapists to protect his countrymen, Jews & Arabs, from terrorist Rapists.You wont find that on the other side - only Fanatic Jihadi Rapists!',Israel
'Such pro-Palestine protesters are showing their true colours to the world. Your hinged obsession with killing Jewish people is neferious&shameful. You have zero contribution to the peace efforts to defend Palestinians rights. But we see you for who you are.#HamasTerrorists',Israel
'Noa Marciano was murdered while being captive of the Hamasisis',Israel
'Israels artists are joining the call to #BringThemBackNow#HamasisISIS #thewestisnext #StandWithIsrael #StandWithUs #Update #israelnews #israelconflict #PalestineConflict #freepalestinefromhamas #Israel #Palestine #IsraelUnderAttack #IsraelUnderFire #foryou #HamasWarCrimes',Israel
'We know the 240+ innocent #Israeli  being held hostage by #HamasISIS, but now, add to them a baby who by now born in captivity , remember the World  is silent .#Israel',Israel
'Hamas are wearing civilian clothing which endangers the civilian population. Hamas are firing on IDF from a residential premises making the residential area a legitimate target. These are war crimes. #IsraelHamasWar #Israel #HamasTerrorists #Hamas',Israel
'Every mom in the world can hear it #StandWithIsrael #HamasisISIS #FreeGazaFromHamas #BringThemHomeNow',Israel
'The truth behind #YahyaSinwar Hamass leader and how Israel saved his life according to international law.#Gaza #StandWithIsrael',Israel
'The HamasISIS Legislative Council building before and after the takeover by the Golani Brigade. Where did Ismail Hania go?',Israel
'In Gaza, Hamas seized control of the ambulances.Listen to a call where terrorists Hamas brag about uses ambulances to transportation and transfer weapons!!#DeathtoHamas #IsraelFightsTerror #IsraelFightsBack #Hamas_is_ISIS #HamasTerrorists  #IStandWithIsrael',Israel
'I feel Israel has learnt right thing from the history and doing what is needed to be done.. Destroying Hamas is act of saviour and goodness. Hamas ka ant hoke rahega.. #IStandWithIsrael #HamasTerrorist #Hamas_is_ISIS #HamasNazis #HamasTerrorists',Israel
'See how the Hamas sewer rats crawl out of their tunnels.#HamasTerrorists',Israel
'#EmilyHandWhen Irish Eyes Are Closed. @fiannafailparty @MichealMartinTD @FineGael @FineGaelBrux Shame on you @sinnfeinireland #StandWithIsrael @IrishTimes @rtenews @YasMohammedxx @dfatirl @RuthZakh @Irishchutzpah',Israel
'Standard medical equipment? Only in #Gaza hospitals - weapons and other military equipment found at al-Quds hospital. #HamasisISIS  #StandWithIsrael #AmYisraelChai',Israel
'At a time of painful deafening silence from so many of your colleagues thank you @realjonlovitz for speaking up and #StandWithIsrael',Israel
'This will actually heal your depression. A visual representation of the healing power of timefallinginsand#psychology #anxiety #Debate2023#HamasISIS #RedVelvet #Gaza #ArrestSwamiMaurya #GoddessLaxmiInsulted',Israel
'So true. Terrorism is cultivated by #HamasTerrorists from childhood onwards. What is the motive behind @UNICEFs silence on this for years despite being aware of it?Another scandal for @UNICEF and @UN.',Israel
'The strong anti Jewish messaging  from the BBC will always be remembered and never forgiven. #StandWithIsrael',Israel
'#MrFAFO is here as a kitchen chef today. He is making bomb cakes for terrorists #HamasISIS . Ladies and gentlemen and introducing the terrorist cake#HamasTerrorist',Israel
'The Nahal Brigades combat team captured the Shati outpost, destroyed many #Hamas infrastructures, eliminated terrorists & located 5 tunnel shafts. During the mission, the IDF apprehended #Hamasterrorists who were taken for interrogation in #Israel. #IsraelFightsTerror #Gaza',Israel
'IDF: During searches conducted by the Unit for Underwater Missions, a large number of weapons used by the Hamas terrorist organization in their attempts to infiltrate Israeli territory were located. #HamasISIS #HamasTerrorist #Gaza #Israel Greta God save the king  Libya',Israel
'This innocent little girl tells anchor her biggest wish is her Unborn Brother dies as martyr for JIHAD - to the proud giggling of her mommy...Its not their problem - its YOURS!15 years from now - this kid will be your daughters roommate in Harvard',Israel
'#DurhamCollege  #SaharShehadeh #Antisemite pro #HamasTerrorists  WillDurham college expel this antisemite?',Israel
'Attempted terrorist attack today on the American side of the Rainbow Bridge from vehicle explosion coming in from Canada. 2 people dead so far. Maybe Hamas really is going global? #HamasTerrorists',Israel
'First footage showing the weapons found by the IDF inside Shifa proves that the hospital was used for military purposes.The operation is still ongoing to uncover the underground tunnels and military command centers.#Hamas #HamasISIS #Israel #October7 #October7massacre',Israel
'The most amazing video you will ever see!Aner, hid with other people in the shelter when #Hamasterrorists came.The terrorist threw 8 grenades and Aner threw them out.With each grenade, he could lose a hand, but he continued, until the eighth grenade killed himJewish heroism',Israel
'A lot of people have asked about the Maori people doing the Haka to show support for Israel (pinned above) So I wanted to share a Haka done before a rugby game. The maori people are solid and their support will never be forgotten!#standwithisrael #Trump2024',Israel
'Agreed! Ceasefire only when #Israel accomplishes its goal! End  #HamasTerrorists',Israel
'Its raining in Gaza Strip. #Gaza #Palestine #Israel #FreePalestineFromIsrael #IsraelTerrorism #GazaGenocide #GazaCeasefireNOW #HamasISIS',Israel
'Today 0 out of the 40 Israeli children kidnapped by #HamasISIS were released.You keep quiet about that.Resign.',Israel
'They absolutely MUST stay the course.The only thing that the Middle East understands is strength.This must be done.#standwithisrael against the Jihad.#standwiththewest',Israel
'Today in Isfahan the Islamic Republic recreates the scene of #HamasISISs attack on #Israel with the flag of #HezbollahAny doubt that the Islamic Republic was behind the October 7th attack? #Iran',Israel
'This is not 570 CE MeccaBut 2023 Sydney #Israel #HamasTerrorists #Gaza_War',Israel
'It turns out the pot of gold is actually an IAF Blackhawk helicopter.#AlShifaHospital No #IsraelTerrorism but #HamasTerrorists #HamasisISIS',Israel
'Osama Bin Ladin Letters! Liberal Lunatics! You make me sick!#OsamaBinLadenLetter #OsamaBinLaden #September11 #LiberalismIsAMentalDisease #thursdayvibes #Gaza #bbtvi #HamasTerrorists #AmericaFirst',Israel
'Tower Hamlets needs to be de-radicalised. We could use it as a model and extend it across the country.#Antisemitism#HamasTerrorists#London',Israel
'Iranians were proudly the first to join the tribe of Israel in the quest for Zionism. Kourosh was a messiah who delivered the tribe of Israel back to their land and rebuilt their temple. #IraniansStandWithIsrael #StandWithIsrael',Israel
'#Gaza: the IDF struck a school used as a #Hamas base for launching/terror activity, the 401st Brigade killed many #Hamasterrorists; found rocket launch pits & many caches of weapons on school grounds. In various ops, many mortar launch positions/anti-tank missiles were destroyed.',Israel
'Parallel to ground ops, #IDF troops of Shayetet 3, the missile boat flotilla, hit #HamasTerrorists along the #Gaza Strip w/1000s of munitions by sea & observing & opening routes, escorting fire, thwarting ground threats & covering land missions by sea. #IsraelPalestineWar #Israel',Israel
'Happening now !There is a massive rally for #Israel happening in #WashingtonDC.@C19VaxInjured is sending us these pics !#StandWithIsrael #Israel',Israel
'#Hamas is the master of deception. Dont buy their lies. #gazaishamas #Gaza #HamasTerrorist #IsraeliTerrorists #Israel #IsraelPalestineWar #FromTheRiverToTheSea #Israel #IDF #StandWithIsrael #BringThemHome #TheWestlsNext',Israel
'Sorry #Hamas but there is only ONE response to this. For @Israel @IsraeliPM @IDF . . . and for the world, you MUST be destroyed. #DestroyHamas #Hamas_is_ISIS #HamasISIS #October7massacre',Israel
'Two countries with  who treat bureaucratic stupidity with the contempt it deserves. Well done #Poland #StandwithIsrael',Israel
'More and more people need to make their voices heard! Every voice is meaningful #standwithisrael #standwiththetruth #freeisraelfromterror #freetheworldfromhamas #HamasisISIS #jewishlivesmatter',Israel
'Maryland hate crime task force member claimed babies murdered by Hamas were fake, compared Israel to Nazis. This #AntiSemite #Bigot needs to be fired and deported. she is spreading #Hate and #HamasLies #HamasTerrorists',Israel
'Survivor of #Hamasterrorist massacre 7/10 - Im alive thanks to a chain of miracles. #Hamasterrorists, slaughtering everyone. WhatsApp recording of a mother crying, saying #HamasTerrorists shot her baby in the head. Unthinkable atrocities. https://mol.im/a/12724567 via @MailOnline',Israel
'Innocent #Israeli citizens hiding from #HamasTerrorists on #October7 at #Nova.. #NeverAgainIsNow #TheWestIsNext #HamasislSIS #BringThemHomeNow',Israel
'Bethnal Green... a place where my grandparents and many other Jews used to live. What would they think of it now, when children, for goodness sake, are calling for the destruction of Israel and in turn the death of Jews.#Antisemitism #HamasTerrorists #LONDONHASFALLEN',Israel
'We are all one big familyOur hearts with the 240 families of the abductees held in captivity by the terror organization #HamasISIS already 42 (!) days - babies, children, women, men and elderly What if it was your family? - Dont stay silent! #BringThemBackHomeNow',Israel
'If you wondered how it feels to be Jewish this will give you a good idea. People do not care about Palestinians as was proved when Asad killed 10s of 1000s in Syria with no outcry or apartheid in Lebanon. Only as a way to attack Jews is there support for Palestinians #HamasISIS',Israel
'The whole world is brainwashed! Stand with the truth ! Stand with Israel! #StandWithIsrael',Israel
'She volunteered to replace part of the Gaza tunnels blown up by the IDF. #HamasTerrorists',Israel
'IDF soldiers flying Israeli flags at the entrance to the Hamas Supreme Court in Gaza  #Israel #Gaza #HamasISIS #HamasNazis',Israel
'How to be happy and healthy #IDF style! #Israel #Jews #people #StandWithIsrael #StayHealthy #StandWithUs #humanhealth #October7massacre #Jewish #Israeli #Palestinians #peace',Israel
'This is Hamas indoctrination of children to become terrorists in Gaza. #HamasISIS #HamasNazis #children #Gaza',Israel
'Look at this kids really look at them.. they real and they are held as #hostages for the last 41 days!! #bringthembacknow #bringthemhomenow #standwithisrael',Israel
'These are 6 brave IDF soldiers of the noble Druze community who died in fierce combat, fighting the Rapists & defending Israel. May they rest in peace.IDF has Jewish, Druze & Arab soldiers fighting together - you wont find that on the other side, just fanatic Muslim Rapists...',Israel
'Miss Iraq Sarah Idan has a message for #HamasTerrorists and #Palestine',Israel
'The National Swimming Team of #HamasTerrorists  about to perform a surrender sincron.',Israel
'Cowards are the only idiots who set command and control center in schools and hospitals #HamasTerrorists',Israel
'ask #HamasISIS  leader who treated him . his daughter his brother in law Have you asked Egypt why they dont open their border with GAZA??',Israel
'Do you know what #HamasISIS did in Israeli homes on October 7th? Sorry we cant shed tears over this footage. We have no tears left.',Israel
'Hamas rockets, weapons and bombs found in a school yard and inside a refrigerator.Hamas is bad for the residents of Gaza and the citizens of Israel#FreeGazaFromHama #StandWithIsrael',Israel
'The US is full of #HamasTerrorists sympathizers and now this in Niagara Falls. Head on a swivel folks!',Israel
'This British journalist speaks FACTS about Israel in the mainstream media. Kudos! Israel has the right and the duty to defend its civilians and fight terrorists. #StandWithIsrael',Israel
'I have seen a horrible video on X of Palestinian men urinating on naked corpses of female massacre victims. You can guess why they were naked. After desecrating the bodies, one of them stomped on one, and kicked her repeatedly. I will not share the video. Horrible. #HamasISIS',Israel
'At 6 a.m. this morning there was a major raid at the #IZH in Hamburg.We say no to:#HamasTerrorists#HisbollahTerrorists#IRGCterrorists',Israel
'In Miami Beach today - Motorcycle enthusiasts come out in support of Israel. @MiamiBeachNews #motorcycles #StandWithIsrael #AmYisraelChai #israelatwar',Israel
'Mia was kidnapped by Hamas terrorists.The world cannot stay silent. The hostages must be brought home alive.#BringThemHome #StandwithIsrael',Israel
'Precision missile attacks & encounters w/#Hamasterrorists:The Magellan Unit forces fight in #Gaza attacking with weapons & precision missiles like the Gil missile & the steel sting guided munition first used in the fighting. #IsraelPalestineWar #October7massacre #IsraelGazaWar',Israel
'Items which the #IDF has found within a single #Gaza mosque today. We find it sad that a place of worship should be openly used by #HamasTerrorists to store weapons, and that local worshippers either support it, or are too afraid of #Hamas to speak out.',Israel
'Boy George says hello to Roger Waters with his new Magen David suit.      #StandWithIsrael',Israel
'One picture is more useful then1000000000 words. Let the world know. Accurate. Like if you agree. #Hamas Palestine#Hamas_is_ISIS Islam#Gaza_Genocide Israel#HamasTerrorists',Israel
'Best video for @sonamakapoor Q: What will happen if #Israel stops fighting? A: #HamasTerrorists will finish them -/-/-Q: What will happen if #HamasTerrorists stop attacking?',Israel
'It is heartbreaking to see how young most victims of #HamasTerrorists are. May Eitans memory be for a blessing and may Hashem avenge his blood.#AmYisraelChai   #StandWithIsrael #HamasisISIS',Israel
'A mom is a mom - no matter who you are, where you live, or your beliefs - a mom is a mom.Give mothers of the kidnapped children a voice - please share! #bringthemhome #standwithisrael',Israel
'This fundamentalist bigot had 1453 tattooed on his hand. Thats the year the Muslims conquered Constantinople. If the West doesnt wake up, they will be all living under Sharia law in the near future.#TheWestlsNext #freegazafromHamas#standwithisrael',Israel
'@IrishTimes today. The Irish Ambassador to #Israel @DanaErlich writes. #freethehostagesnow #HamasISIS',Israel
'Happy childrens day. Am I right @antonioguterres?32 Israeli children are still in captivity. We need them home. Now.#BringThemHome#StandWithIsrael',Israel
'Anarchy! Get the riot police out! Or have the police given up and gone home for a cup of tea by the fire?#HamasTerrorists#LONDONHASFALLEN',Israel
'Such a special, powerful and moving day at the #MarchForIsrael ! There is so much strength and power when we are all together as one. #StandWithIsrael',Israel
'Anderson Coopers guest, a former Israeli intelligence chief said that there are no noncombatants in the Gaza strip because all of the Gazans voted for Hamas, & most of the population is Hamas.Do you agree?#IsraeliTerrorists #HamasTerrorists',Israel
'Dozens of soldiers from the Givati group who fought last Thursday in the heart of Gaza City were decorated in a ceremony that took place in the Gaza Strip, where they destroyed Hamas infrastructure #Israel #Hamas #HamasISIS #Gaza',Israel
'I am reflecting on how Canada has fallen so far, Jews being targeted in the streets, this never happened 30 years ago. What has changed? Oh yeah, we flooded this country with people who do not share our same values. #StandWithIsrael',Israel
'Finally #Guterres recognises the massacre of October 7.#hamasattack #Hamas_is_ISIS #HamasMassacre #HamasTerrorists',Israel
'Israel fights FOR our childrenHamas fights USING children.See the difference?#StandWithIsrael #HamasisISIS',Israel
'When I visited 1st grade children in Tirana, I asked them what they want to be when they grow up They said policemen doctors teachers.  Today there are 38 Israeli kids who just want to go home. Help them make this dream come true. #StandWithIsrael #BringThemHome',Israel
'A longer version of my yesterday interview with @TeamCavuto on@FoxBusiness.#HamasISIS #IRGCterrorists',Israel
'Nov18,2023 #Seattle #WashingtonState at the University of Washington @UW ON CAMPUS!#BLM  #FreePalestine #Intifada... Right on the statue of #GeorgeWashington.This is what #America looks like today. #HamasISIS is in town. Think its #Israels problem? Think again!!!',Israel
'Hamas uses a mosque for cover to manufacture rockets. #StandWithIsrael #HamasMassacre #October7massacre #Gaza #IDF #NoCeasefireUntilHostagesReturned #IsraelPalestineWar #FinishHamas #BringThemBack #Palestine',Israel
'Canada needs to declare that it will continue to be a staunch ally of  and that HamasISIS must be eliminated.',Israel
'Why does US treat #Qatar like an ally when it continues to host and support #HamasTerrorists?',Israel
