PostID,Time,TweetUrl,Content,UserName,Review,RetweetNum,LikeNum,LookNum,UserID,UserUrl,Location,,relevant?
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727153183934349650,"Sam Altman in talks to rejoin OpenAI board, say reports",BBCWorld,67,18,107,119K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727148664382947426,Dutch vote for new leaders in neck-and-neck race,BBCWorld,57,16,91,113K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727145646723834297,Fighting climate change with 100ft ice towers,BBCWorld,76,32,170,115K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727227916314874048,"Israeli air raids have intensified during the last couple of hours across the Gaza Strip, with fears that air raids may intensify today before the agreement takes effect. LIVE updates: http://aje.io/r7rawx",AJEnglish,20,88,79,7.9K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727224249708871945,Israel and Hamas have agreed to a temporary truce deal that will see 50 captives held in Gaza released in exchange for Palestinians held in Israeli jails.Al Jazeera’s @sarakhairat goes through the main points of the deal,AJEnglish,34,157,251,22K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727223728717893713,Israel and Hamas agreed on a Qatar-mediated deal for a four-day truce in Gaza and the release of 50 captives held in the besieged enclave. LIVE updates: http://aje.io/r7rawx,AJEnglish,28,51,75,17K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727212942800630095,‘What’s wrong?’: The silence of Pakistanis on expulsion of Afghan refugees,AJEnglish,34,87,145,23K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727197857915035753,‘Israel’s army tanks are here. We are facing imminent death in Gaza City’,AJEnglish,55,247,391,33K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727194031032066059,"Hamas, Israel leaders suggest deal is ‘close’ on captives, Gaza truce",AJEnglish,37,45,150,29K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727190362861531305,Binance crypto exchange founder to step down amid US illicit finance probe,AJEnglish,23,12,48,28K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727186601699156196,"Palestinians, supporters fly flag in emotional World Cup qualifier",AJEnglish,53,210,772,35K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727182811721875637,"10 years after Haiyan, are mangroves protecting Philippine coastal areas?",AJEnglish,14,13,54,29K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727179029768175908,"Russia-Ukraine war: List of key events, day 637",AJEnglish,17,16,75,29K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727141867874103746,King Charles speaks Korean at state banquet to honour president Yoon Suk Yeol,BBCWorld,60,53,305,142K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727138083089334495,Four Las Vegas teens charged with murder in schoolmate's beating death,BBCWorld,63,32,158,131K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727133834272034917,Canada's QAnon 'queen' leaves town - but doesn't go far,BBCWorld,39,31,102,135K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727128013542715542,Georgia judge declines to jail Trump co-defendant before trial,BBCWorld,46,21,97,111K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727122909427040517,Rohit Sharma: The Indian captain who lost cricket World Cup but won hearts,BBCWorld,51,54,402,133K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727122334937399297,China: Human Rights Watch accuses Beijing of closing and destroying mosques,BBCWorld,164,102,268,196K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727177314012946764,"Israeli government has approved Qatar-mediated deal for temporary truce in Gaza, but says war will continue.   Watch our LIVE coverage",AJEnglish,13,92,111,52K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727176652063478032,"LIVE: Qatar, the mediator in the Gaza truce talks, has confirmed that a humanitarian pause has been agreed on.",AJEnglish,35,152,289,91K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727227916314874048,"Israeli air raids have intensified during the last couple of hours across the Gaza Strip, with fears that air raids may intensify today before the agreement takes effect. LIVE updates: http://aje.io/r7rawx",AJEnglish,20,90,79,7.9K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727224249708871945,Israel and Hamas have agreed to a temporary truce deal that will see 50 captives held in Gaza released in exchange for Palestinians held in Israeli jails.Al Jazeera’s @sarakhairat goes through the main points of the deal,AJEnglish,34,160,251,22K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727223728717893713,Israel and Hamas agreed on a Qatar-mediated deal for a four-day truce in Gaza and the release of 50 captives held in the besieged enclave. LIVE updates: http://aje.io/r7rawx,AJEnglish,28,52,75,17K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727171159517470792,"North Korea defies international criticism, successfully launching its first spy satellite into orbit despite earlier failed attempts this year http://aje.io/z2citw",AJEnglish,53,182,745,69K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727167387353469039,"Strong opposition emerges from sections of Israel’s far-right parties against the truce deal, despite only 3 out of the 38 members voting against it, reports Al Jazeera's Hamdah Salhut.    LIVE updates",AJEnglish,13,55,110,43K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727162432366194826,"The Israeli cabinet approves temporary ceasefire deal; undisclosed details hint at the release of 50 captives, with Israel set to free around 140 Palestinian prisoners http://aje.io/jx4o1o",AJEnglish,55,313,570,62K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727141867874103746,King Charles speaks Korean at state banquet to honour president Yoon Suk Yeol,BBCWorld,60,53,306,142K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727122909427040517,Rohit Sharma: The Indian captain who lost cricket World Cup but won hearts,BBCWorld,51,54,404,133K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727087311404302670,King Charles deploys K-pop at South Korea state banquet,BBCWorld,95,107,287,246K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727073326114160749,Can Joe Biden's plan stop the flow of fentanyl to the US?,BBCWorld,108,41,101,128K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727071985836994773,Thanksgiving travel: Record crowds expected to flood US roads and skies,BBCWorld,69,27,110,128K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727067108276638176,California man charged in fatal homeless person shooting,BBCWorld,66,34,120,135K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727055298857193895,Seabed mining will stress jellyfish - scientists,BBCWorld,87,46,141,132K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727050605808496872,Why Trump’s rivals in Iowa still think they can win,BBCWorld,135,29,111,126K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727034167089652223,"World Cup 2026 qualifying: Ghana shocked by Comoros, Senegal and Cameroon held",BBCWorld,95,40,76,117K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727176652063478032,"LIVE: Qatar, the mediator in the Gaza truce talks, has confirmed that a humanitarian pause has been agreed on.",AJEnglish,35,151,290,91K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727171159517470792,"North Korea defies international criticism, successfully launching its first spy satellite into orbit despite earlier failed attempts this year http://aje.io/z2citw",AJEnglish,53,182,183,745,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727171159517470792,"North Korea defies international criticism, successfully launching its first spy satellite into orbit despite earlier failed attempts this year http://aje.io/z2citw",AJEnglish,53,183,745,69K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727158655307669735,Hamas confirms a four-day temporary ceasefire from both sides. Here are the additional details on the agreed truce   LIVE updates: http://aje.io/r7rawx,AJEnglish,14,155,175,37K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727152351578857585,The Israeli government announces approval for the first stage in 'achieving their goal'.  LIVE updates: http://aje.io/r7rawx,AJEnglish,37,52,76,33K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727142746291339509,The Israeli gov't has approved a Qatari-mediated deal. Here's what happens next  LIVE updates: http://aje.io/r7rawx,AJEnglish,15,180,186,40K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727139538903220416,"Israeli gov't approves undisclosed Gaza truce deal, releasing 50 captives in exchange for ceasefire days. Palestinian prisoner release from Israeli jails are also part of the agreement, reports Al Jazeera's Hamdah Salhut. LIVE updates: http://aje.io/r7rawx",AJEnglish,14,214,235,56K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727133647461859376,Palestinian man killed by Israeli forces near occupied West Bank’s Qalqilya.  LIVE updates: http://aje.io/r7rawx,AJEnglish,12,75,114,28K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/BBCWorld/status/1727122909427040517,Rohit Sharma: The Indian captain who lost cricket World Cup but won hearts,BBCWorld,51,56,406,133K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727027379321651545,'Blackout Wednesday' in US prompts drink-driving concerns,BBCWorld,75,28,82,163K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727026839837606060,Video shows car interior mauled by a trapped bear,BBCWorld,71,36,131,133K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727022264829313267,US court rolls back key voting rights protection,BBCWorld,102,42,146,138K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1727018278948593665,Navy plane misses runway and lands in Hawaii water,BBCWorld,106,87,280,222K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726989402071523507,Royal red-carpet roll-out for South Korean visit,BBCWorld,108,36,244,134K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726981632857395410,Israeli strikes kill two journalists in Lebanon - PM,BBCWorld,457,385,811,297K,742143,https://twitter.com/BBCWorld,"London, UK",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727186601699156196,"Palestinians, supporters fly flag in emotional World Cup qualifier",AJEnglish,53,211,773,35K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727131694350704934,"“TikTok is radical in how it allows us to connect with people of different walks of life and share politically subversive information.”Clio, a 21-year-old Jewish American TikToker, shares her journey to solidarity with Palestinians",AJEnglish,41,342,646,50K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727128798192349479,US Central Command claims to strike two facilities in Iraq in a direct response to attacks by Iran and Iran-backed groups on US and Coalition forces. LIVE updates: http://aje.io/r7rawx,AJEnglish,14,49,56,25K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727122912925159526,"Al Jazeera's Hani Mahmoud reports renewed Israeli air attacks across southern, central, and northern areas of Gaza. LIVE updates: http://aje.io/r7rawx",AJEnglish,9,76,86,28K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727118422490943945,Israel's intensified bombardment of Gaza deepens the humanitarian crisis. Follow our LIVE coverage: http://aje.io/r7rawx,AJEnglish,81,348,592,170K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727115511035474290,"“We helped them to build these bunkers.” Former Israeli Prime Minister, Ehud Bartak, said that Hamas has a bunker under al-Shifa hospital because Israel built it",AJEnglish,41,378,399,46K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726980394447147139,"Falkland Islands sovereignty not up for debate, says Rishi Sunak's spokesman",BBCWorld,89,27,155,136K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726968473778102564,Nicki Minaj responds to Nigerian fan's complaint about tour venues,BBCWorld,87,16,106,173K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726967387327435238,Stunning starling murmuration captured near Preston nature reserve,BBCWorld,74,36,250,284K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726966806370300279,Watch: Top Gear's key moments over the years,BBCWorld,68,11,94,122K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726963328071741911,Microsoft boss calls for changes to OpenAI's board after firing of Sam Altman,BBCWorld,88,34,168,128K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726950348177207340,Congo-Brazzaville stampede: Dozens killed during army recruitment drive,BBCWorld,111,46,141,141K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726940067787161787,Top Gear will not return for 'foreseeable future',BBCWorld,116,44,140,193K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727131694350704934,"“TikTok is radical in how it allows us to connect with people of different walks of life and share politically subversive information.”Clio, a 21-year-old Jewish American TikToker, shares her journey to solidarity with Palestinians",AJEnglish,41,342,647,50K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727118422490943945,Israel's intensified bombardment of Gaza deepens the humanitarian crisis. Follow our LIVE coverage: http://aje.io/r7rawx,AJEnglish,81,348,593,170K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727115217853878718,"Israeli forces halt ambulances in Tulkarem during nightly raids in the occupied West Bank, captured in verified video by Al Jazeera's Sanand Unit. LIVE updates: http://aje.io/pbvd83",AJEnglish,12,70,100,26K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727094016968442367,Jordanian PM declared the country will use 'all the means in its power' to stop Israel from carrying out any transfer policy that would result in the wholesale expulsion of Palestinians from occupied West Bank.  LIVE updates: http://aje.io/pbvd83,AJEnglish,21,142,264,49K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727088176492130362,Palestine supporters energise the World Cup qualifier against Australia — in pictures LIVE updates: http://aje.io/pbvd83,AJEnglish,22,136,325,40K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727083738960470401,"“My dream just came true.” 11-year-old Asif Abu Mahadi lost his leg in an Israeli air strike in Gaza. It’s his dream to get back on the football pitch and play just like his idol – Morocco's goalkeeper Yassine Bounou, who called Asif to wish him well",AJEnglish,64,1.4K,3K,156K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726929850986840357,Listen: Lost BBC Banksy interview resurfaces,BBCWorld,89,51,192,141K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726927924001915066,Can bamboo be big in construction?,BBCWorld,64,54,195,137K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726925844415685004,Burton-on-Trent woman loses 12 family members in Gaza,BBCWorld,338,167,514,257K,742143,https://twitter.com/BBCWorld,"London, UK",,TRUE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726924279281799608,Blackpink: Fans speculate as K-pop stars negotiate new contract,BBCWorld,69,22,94,126K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726919657867587775,"The leader of Hamas says the group is close to reaching a ""truce agreement"" with Israel, but Israel is yet to commentLive updates",BBCWorld,374,142,437,359K,742143,https://twitter.com/BBCWorld,"London, UK",,TRUE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726918825998749741,Banksy: Street artist confirms first name in lost BBC interview,BBCWorld,63,86,349,321K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727079873070633199,"Indonesian hospital faces ongoing artillery shelling, with reports of targeted attacks on and killing of medical staff, reports Al Jazeera's Hani Mahmoud. LIVE updates: http://aje.io/pbvd83",AJEnglish,14,164,157,38K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727078432901840930,"Detroit City Council, in a 7-2 vote, passes a resolution for a Gaza ceasefire, making it one of the largest US cities to do so. LIVE updates: http://aje.io/pbvd83",AJEnglish,29,148,291,33K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727076619737780435,"Following the Galaxy Leader seizure, the White House reconsiders labeling Houthis as a ""terror"" group after a 2021 reversal aimed at facilitating aid to war-torn Yemen http://aje.io/pji2l7",AJEnglish,238,184,433,93K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727066002587091322,Israeli government set to approve captive release deal after third meeting tonight; ministers to vote on the deal afterward. LIVE updates: http://aje.io/pbvd83,AJEnglish,30,48,81,33K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/22/2023,https://twitter.com/AJEnglish/status/1727139538903220416,"Israeli gov't approves undisclosed Gaza truce deal, releasing 50 captives in exchange for ceasefire days. Palestinian prisoner release from Israeli jails are also part of the agreement, reports Al Jazeera's Hamdah Salhut. LIVE updates: http://aje.io/r7rawx",AJEnglish,14,215,235,56K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726913742988865999,UN criticises 'severe' Just Stop Oil sentences,BBCWorld,133,49,155,179K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726911142805622789,Car seized after 'peculiar' tax disc discovery,BBCWorld,96,14,78,131K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726908307208556949,Israel recalls its ambassador from South Africa,BBCWorld,265,103,511,224K,742143,https://twitter.com/BBCWorld,"London, UK",,TRUE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726902071058743528,'I had to cut up old clothes to use as period pads',BBCWorld,127,45,157,149K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726883921105764799,Liberia election: Vehicle rams into celebrating President-elect Boakai supporters,BBCWorld,88,40,103,127K,742143,https://twitter.com/BBCWorld,"London, UK",,FALSE
1.73E+18,11/21/2023,https://twitter.com/BBCWorld/status/1726871995348930625,Palestinian football's 'star defender' among players stuck in Gaza,BBCWorld,95,60,180,120K,742143,https://twitter.com/BBCWorld,"London, UK",,TRUE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727053440826921377,"Northern Gaza’s Indonesian Hospital is being targeted by Israeli forces. With hundreds of people trapped, we take a look at the current conditions inside the facility.",AJEnglish,197,2.8K,2.6K,131K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727046981414166951,"At least 10 people were killed in the Israeli bombing of a residential building in Khan Younis, according to a report. LIVE updates: http://aje.io/pbvd83",AJEnglish,38,135,160,49K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727045676113252557,Palestinians in Israel also face a Nakba — writes Mohamad Kadan for #AJOpinion : https://aje.io/77kyas,AJEnglish,61,320,518,45K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,TRUE
1.73E+18,11/21/2023,https://twitter.com/AJEnglish/status/1727042947726692548,A Muslim prisoner in the US writes about why he fears that he will be cremated against his religious beliefs when he dies,AJEnglish,41,112,292,44K,4970411,https://twitter.com/AJEnglish,"Doha, Qatar",,FALSE
